,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,6,2,38.244,-85.726,38.244,-85.727,0.04,1.51,21942655190923878636869349941167990427
1,6,2,38.267,-85.739,38.266,-85.74,0.04,1.51,84823295168015410912246048498760268029
2,6,1,38.254,-85.747,38.254,-85.746,0.04,0.76,92749539524515877877297252078366196787
3,6,1,38.218,-85.757,38.217,-85.756,0.04,0.76,87697389234622422421073140530227124924
4,6,3,38.259,-85.751,38.259,-85.751,0.04,2.26,70697883430186598347258062511296249897
5,6,2,38.217,-85.757,38.219,-85.761,0.04,1.51,4860767529312132853716382632062897389
6,6,1,38.258,-85.745,38.257,-85.746,0.04,0.76,73726020472230034596775065856223663693
7,6,8,38.257,-85.763,38.257,-85.763,0.04,6.01,15022021716970147282388383882175047259
8,6,27,38.258,-85.745,38.257,-85.745,0.04,20.26,57487795282579605367162307616821816109
9,6,1,38.225,-85.769,38.225,-85.769,0.04,0.76,28304338674978788332217542800698777687
10,6,3,38.258,-85.746,38.258,-85.746,0.04,2.26,60644358514062059375755281100773867120
11,6,3,38.213,-85.754,38.205,-85.757,0.04,2.26,89998920257287658939404444318451002913
12,6,12,38.257,-85.757,38.257,-85.762,0.04,9.01,33897471684903385020558622728932925670
13,6,1,38.251,-85.758,38.251,-85.759,0.04,0.76,80990215284298115057478173774209511607
14,6,1,38.258,-85.763,38.257,-85.763,0.04,0.76,95899239542344752615076241048262948785
15,6,1,38.253,-85.755,38.253,-85.756,0.04,0.76,59311262301147260568150198296851669075
16,6,2,38.214,-85.76,38.215,-85.759,0.04,1.51,31351284547622089926124113632520725112
17,6,5,38.217,-85.745,38.217,-85.746,0.04,3.76,26422160783891874728501573966865411996
18,6,4,38.258,-85.764,38.257,-85.764,0.04,3.01,1464322961505161016711699885882688725
19,6,4,38.216,-85.729,38.216,-85.73,0.04,3.01,18655998217576721916295414061578768775
20,6,5,38.266,-85.74,38.266,-85.74,0.04,3.76,92008781081268681713990482024122048388
21,6,1,38.246,-85.755,38.246,-85.755,0.04,0.76,8861289882144529852700947946797587208
22,6,3,38.214,-85.76,38.213,-85.757,0.04,2.26,55830625284504850987340288210176845685
23,6,3,38.214,-85.762,38.214,-85.762,0.04,2.26,71216612936869130361799652922792294241
24,6,1,38.237,-85.72,38.237,-85.718,0.04,0.76,9612520926530468841048272877400615084
25,6,3,38.253,-85.756,38.253,-85.756,0.04,2.26,102221137672374676229121201705797523815
26,6,2,38.216,-85.758,38.213,-85.756,0.04,1.51,55845486277448143155671769090792149602
27,6,1,38.258,-85.756,38.258,-85.756,0.04,0.76,110666867034663313983864513172627816782
28,6,1,38.203,-85.758,38.203,-85.758,0.04,0.76,7960228892031923037234721735897951770
29,6,4,38.255,-85.743,38.255,-85.744,0.04,3.01,71194798985975974882139009263339266898
30,6,3,38.215,-85.759,38.22,-85.761,0.04,2.26,5304450838191065284657501756020029198
31,6,2,38.253,-85.74,38.253,-85.74,0.04,1.51,50587967290017577631497461589501388174
32,6,4,38.238,-85.703,38.236,-85.705,0.04,3.01,5171391937688905180415199455454863837
33,6,1,38.264,-85.729,38.264,-85.729,0.04,0.76,41851374862183462575412498653244987427
34,6,12,38.223,-85.693,38.223,-85.693,0.04,9.01,5361807756946116219963452631414472814
35,6,6,38.255,-85.759,38.255,-85.759,0.04,4.51,66094804430182933627005821659263679997
36,6,2,38.257,-85.763,38.257,-85.763,0.04,1.51,87431266756599649508696518709609839892
37,6,2,38.221,-85.761,38.219,-85.761,0.04,1.51,13987040240036523480876872858226648583
38,6,1,38.22,-85.765,38.22,-85.764,0.04,0.76,25937783630542795861480030124012117069
39,6,1,38.257,-85.757,38.257,-85.756,0.04,0.76,54903625723249039517273191151439859128
40,6,1,38.255,-85.757,38.255,-85.757,0.04,0.76,110111810484666465216994515471470823778
41,6,3,38.225,-85.767,38.226,-85.764,0.04,2.26,31188449103026348893910840522289389880
42,6,2,38.218,-85.758,38.214,-85.76,0.04,1.51,93018220384763601664807782647195502872
43,6,1,38.257,-85.763,38.257,-85.763,0.04,0.76,101988203430315612733170201364426778253
44,6,3,38.257,-85.757,38.257,-85.757,0.04,2.26,32827043607629933290322147870937264429
45,6,2,38.235,-85.76,38.235,-85.76,0.04,1.51,88357721971157639330593152077252742373
46,6,2,38.221,-85.763,38.221,-85.763,0.04,1.51,75807725281750838472783127672577449233
47,6,2,38.222,-85.766,38.22,-85.763,0.04,1.51,35237423983890475315383779268974758589
48,6,3,38.257,-85.76,38.257,-85.76,0.04,2.26,25945333110692879414999880755654039758
49,6,3,38.258,-85.745,38.258,-85.745,0.04,2.26,9383559178218427019720258055531712635
50,6,5,38.257,-85.762,38.257,-85.762,0.04,3.76,44326415611979472819081017847995281355
51,6,2,38.246,-85.757,38.246,-85.757,0.04,1.51,44684407628733898993296977939251132726
52,6,3,38.214,-85.75,38.214,-85.75,0.04,2.26,110320506360522637315672053884698039973
53,6,12,38.258,-85.745,38.258,-85.745,0.04,9.01,14098366470562869096203391742044638243
54,6,2,38.214,-85.755,38.213,-85.755,0.04,1.51,89995307238654625760849967137275856057
55,6,2,38.214,-85.752,38.215,-85.754,0.04,1.51,29601042016636520925809978415038142903
56,6,1,38.221,-85.763,38.22,-85.763,0.04,0.76,13167370637343186676002806181001364833
57,6,4,38.254,-85.701,38.254,-85.701,0.04,3.01,32563881747547025367769249098387734524
58,6,4,38.251,-85.757,38.249,-85.758,0.04,3.01,9492837663473319010005406923964082661
59,6,3,38.224,-85.763,38.221,-85.759,0.04,2.26,4530237327357605352446398578525601683
60,6,3,38.253,-85.736,38.253,-85.736,0.04,2.26,97089411072831264187481605774061184218
61,6,1,38.199,-85.745,38.199,-85.747,0.04,0.76,63288066452668810546715117260559712325
62,6,1,38.213,-85.752,38.213,-85.752,0.04,0.76,80392649091878037333853894366707670842
63,6,3,38.253,-85.736,38.253,-85.736,0.04,2.26,61797241062099174976189721944040721697
64,6,1,38.255,-85.752,38.255,-85.752,0.04,0.76,28659824158688835725302706779117812163
65,6,3,38.253,-85.755,38.252,-85.755,0.04,2.26,14001535681622129452923180690330812163
66,6,4,38.257,-85.764,38.257,-85.763,0.04,3.01,69502466651069794813219244490204820435
67,6,4,38.257,-85.762,38.257,-85.762,0.04,3.01,33592935812240099187943275250388681559
68,6,3,38.218,-85.756,38.214,-85.76,0.04,2.26,66631007562450558787832717795262256305
69,6,24,38.219,-85.736,38.223,-85.669,0.04,18.01,68659955436506781584825102028485356567
70,6,4,38.213,-85.752,38.219,-85.754,0.04,3.01,4676274964034291422533311332108969354
71,6,3,38.216,-85.758,38.217,-85.759,0.04,2.26,34324450887554027324835503381401994322
72,6,2,38.221,-85.765,38.221,-85.765,0.04,1.51,37789649516316959500180323837867660810
73,6,3,38.217,-85.762,38.217,-85.762,0.04,2.26,79736756881473708257684382518250455137
74,6,3,38.238,-85.72,38.238,-85.72,0.04,2.26,21927598499645108321737328148891416471
75,6,1,38.221,-85.763,38.221,-85.762,0.04,0.76,96329607655352503416706609495396952211
76,6,1,38.251,-85.758,38.251,-85.758,0.04,0.76,82713111043107552684457289149078380672
77,6,2,38.221,-85.701,38.221,-85.702,0.042,1.5105,106855645280626027751964011875166414288
78,6,6,38.254,-85.757,38.254,-85.757,0.043,4.51075,33005311555835183997597560421449238097
79,6,6,38.249,-85.751,38.253,-85.753,0.044,4.511,42100266442887384826110532850340957863
80,6,4,38.214,-85.76,38.214,-85.76,0.045,3.01125,20667553038974722209673535582187779752
81,6,3,38.256,-85.759,38.256,-85.759,0.046,2.2615,2463898151713033753873040211017019364
82,6,3,38.251,-85.755,38.251,-85.756,0.047,2.26175,56239471255836566791943340734897272274
83,6,8,38.264,-85.72,38.265,-85.725,0.05,6.0125,13119713847492476160966300239346263591
84,6,2,38.257,-85.763,38.257,-85.763,0.05,1.5125,50528033489769325322741159667765663156
85,6,4,38.252,-85.758,38.252,-85.757,0.05,3.0125,62880918015088118068745637780249750619
