,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,2,2,38.254,-85.756,38.254,-85.755,0.04,1.51,133023281062463706326501652877694260344
1,2,4,38.213,-85.761,38.213,-85.76,0.04,3.01,115577008517691151726734799325873566281
2,2,2,38.257,-85.763,38.257,-85.763,0.04,1.51,174887986410883599758192811793547782875
3,2,5,38.255,-85.762,38.256,-85.761,0.04,3.76,184348008876538722802519423918150043294
4,2,1,38.225,-85.762,38.225,-85.762,0.04,0.76,149685909969670392112152987460938952851
5,2,2,38.252,-85.758,38.252,-85.758,0.04,1.51,122972095401744404231779166684753872097
6,2,1,38.254,-85.748,38.254,-85.747,0.04,0.76,224428325249805538010261592787833476696
7,2,2,38.215,-85.758,38.214,-85.757,0.04,1.51,170475626730316231227378100205353809507
8,2,2,38.217,-85.76,38.217,-85.758,0.04,1.51,152989791426445656574159020338609794146
9,2,1,38.255,-85.753,38.255,-85.752,0.04,0.76,214065133612841876777405705602068074530
10,2,3,38.221,-85.761,38.221,-85.762,0.04,2.26,126766029758640169836085047128550844275
11,2,1,38.254,-85.758,38.254,-85.758,0.04,0.76,205194903417711894313608731164084423840
12,2,8,38.258,-85.745,38.258,-85.745,0.04,6.01,220216328689529965091628760568538350926
13,2,3,38.255,-85.733,38.255,-85.733,0.04,2.26,172628555504331532937008442103042193454
14,2,4,38.225,-85.764,38.224,-85.761,0.04,3.01,209382109555242054986666890422624550567
15,2,3,38.25,-85.758,38.254,-85.76,0.04,2.26,113623736857375956742772973744586469939
16,2,1,38.216,-85.758,38.215,-85.759,0.04,0.76,150612655192068636050943999906399018229
17,2,3,38.22,-85.761,38.219,-85.76,0.04,2.26,174356782187196794643346673704765500523
18,2,1,38.257,-85.761,38.257,-85.762,0.04,0.76,156241843266271141718044066279996233305
19,2,0,38.216,-85.758,38.215,-85.759,0.04,0.01,159505645931619376892482885068740240639
20,2,3,38.219,-85.763,38.217,-85.758,0.04,2.26,206753686144946480922981980238390792535
21,2,3,38.257,-85.761,38.257,-85.757,0.04,2.26,165089243610855256573537270335843802027
22,2,1,38.224,-85.759,38.224,-85.759,0.04,0.76,210726329911148547928931087602632570151
23,2,3,38.259,-85.748,38.259,-85.748,0.04,2.26,163799403136191606506267622731741265903
24,2,2,38.258,-85.741,38.258,-85.74,0.04,1.51,199935596710896296297067863846884719792
25,2,1,38.221,-85.763,38.221,-85.762,0.04,0.76,162756892440432611778465870090655732424
26,2,2,38.248,-85.731,38.248,-85.731,0.04,1.51,139787574716878008330298373383496247184
27,2,2,38.215,-85.759,38.217,-85.763,0.04,1.51,137133369842581250910607760647864722182
28,2,2,38.22,-85.766,38.221,-85.764,0.04,1.51,145397353526823879543390199227505755121
29,2,3,38.221,-85.763,38.219,-85.76,0.04,2.26,149519795104772927567725927282948356946
30,2,6,38.217,-85.761,38.217,-85.761,0.04,4.51,158042551325642521217959935353773827684
31,2,2,38.218,-85.756,38.219,-85.758,0.04,1.51,138895003372961689008077030785015732676
