,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,7,1,38.251,-85.758,38.251,-85.758,0.04,0.76,189634921985337736829034521792452776611
1,7,3,38.213,-85.767,38.213,-85.767,0.04,2.26,224657733603146102454038450281298456686
2,7,2,38.25,-85.758,38.251,-85.757,0.04,1.51,205041674324184401642742738880713702204
3,7,46,38.226,-85.705,38.226,-85.705,0.04,34.51,201336691883174234792227894376275473368
4,7,4,38.254,-85.759,38.254,-85.759,0.04,3.01,199160076412601247211110819629432206130
5,7,3,38.252,-85.757,38.253,-85.757,0.04,2.26,211491302767624273218025714862929838368
6,7,1,38.227,-85.762,38.226,-85.763,0.04,0.76,135546371363430103146218665776929044882
7,7,1,38.258,-85.748,38.258,-85.748,0.04,0.76,208671366641561511386615119805042378770
8,7,2,38.257,-85.746,38.258,-85.745,0.04,1.51,140457969178750684650445015058115082756
9,7,1,38.253,-85.757,38.253,-85.757,0.04,0.76,162855717460338095450763061480311851380
10,7,1,38.253,-85.74,38.253,-85.739,0.04,0.76,201086578643586310323694564392117286788
11,7,3,38.219,-85.762,38.218,-85.756,0.04,2.26,202258686385602344686832648443452032261
12,7,2,38.241,-85.724,38.24,-85.724,0.04,1.51,174691568158260971099601289588901161076
13,7,14,38.253,-85.757,38.241,-85.725,0.04,10.51,211633347739296574238461498878699170733
14,7,1,38.216,-85.772,38.214,-85.769,0.04,0.76,223038499568354037755615635143466767707
15,7,2,38.253,-85.757,38.253,-85.757,0.04,1.51,123533870212942878199719771308875384341
16,7,4,38.229,-85.71,38.228,-85.705,0.04,3.01,217023362859014085947186152938775527444
17,7,2,38.257,-85.751,38.257,-85.751,0.04,1.51,185816570398748146460075178451036840293
18,7,3,38.254,-85.754,38.253,-85.755,0.04,2.26,155822453638134995965500097069597398167
19,7,1,38.249,-85.694,38.249,-85.695,0.04,0.76,215131961605378338384969682879740253395
20,7,1,38.207,-85.771,38.207,-85.771,0.04,0.76,183348055223248825843545584517786443654
21,7,2,38.253,-85.757,38.254,-85.757,0.04,1.51,136777676268291781316063497836160835293
22,7,3,38.234,-85.723,38.238,-85.726,0.04,2.26,161953042562298042109126373998265781310
23,7,1,38.25,-85.741,38.25,-85.741,0.04,0.76,189026486175098399665070903644010910649
24,7,1,38.253,-85.738,38.253,-85.738,0.04,0.76,159615441301156267009216970489391893256
25,7,3,38.257,-85.753,38.257,-85.753,0.04,2.26,211316252425224294941195523567711137717
26,7,4,38.257,-85.762,38.257,-85.762,0.04,3.01,206077764413751257563383652965742186316
27,7,12,38.251,-85.733,38.251,-85.733,0.04,9.01,193679344357429473135229381029556684413
28,7,1,38.239,-85.724,38.24,-85.724,0.04,0.76,150576781349219019744078480617471170028
29,7,4,38.262,-85.736,38.263,-85.735,0.04,3.01,187581485023421381298973924105789470003
30,7,2,38.229,-85.703,38.23,-85.703,0.04,1.51,185781032622517756311404193571431768017
31,7,1,38.257,-85.757,38.257,-85.757,0.04,0.76,116505455623591804447629766416240989548
32,7,2,38.252,-85.739,38.252,-85.739,0.04,1.51,183493131405426950411008909812291411461
33,7,1,38.254,-85.746,38.254,-85.746,0.04,0.76,128022685495137318421073715192678066328
