,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,1,42,38.253,-85.758,38.253,-85.759,0.04,31.51,231042267605426577419465607155508574946
1,1,1,38.253,-85.751,38.253,-85.751,0.04,0.76,238876302258878462907907415938145651687
2,1,2,38.261,-85.736,38.261,-85.737,0.04,1.51,313380037540498445431625937699949764740
3,1,0,38.258,-85.756,38.258,-85.756,0.04,0.01,297889275546257946173632218074709042240
4,1,2,38.253,-85.739,38.253,-85.739,0.04,1.51,318453101714646911118501161729166020865
5,1,1,38.232,-85.709,38.232,-85.709,0.04,0.76,236726643552328428519395724682352983346
6,1,5,38.252,-85.757,38.252,-85.758,0.04,3.76,278316321678127845126165361110497770816
7,1,2,38.255,-85.745,38.256,-85.745,0.04,1.51,277387680344385572844929362782281201665
8,1,2,38.257,-85.763,38.257,-85.763,0.04,1.51,302413304415054826709200253777332162116
9,1,3,38.253,-85.757,38.253,-85.757,0.04,2.26,289278229627256306792876619355653347284
10,1,2,38.215,-85.755,38.215,-85.755,0.04,1.51,270422961379243365199370816460822338803
11,1,7,38.252,-85.757,38.257,-85.75,0.04,5.26,277275195496261705291034426930209105501
12,1,1,38.257,-85.757,38.257,-85.757,0.04,0.76,287592120021195452497756584679071994629
13,1,3,38.251,-85.758,38.251,-85.759,0.04,2.26,259238591838422030415944431935631722313
14,1,1,38.253,-85.757,38.254,-85.757,0.04,0.76,288702622578793891848800251695380955507
15,1,3,38.21,-85.748,38.21,-85.748,0.04,2.26,331297585940167724641253798882557035260
16,1,1,38.238,-85.696,38.238,-85.696,0.04,0.76,278599377230852120572598880098661818680
17,1,1,38.231,-85.705,38.231,-85.705,0.04,0.76,328580910612829884921161377692503916903
18,1,3,38.237,-85.719,38.235,-85.716,0.04,2.26,294818937799194039875912791551562241932
19,1,4,38.222,-85.705,38.222,-85.705,0.04,3.01,274423542405278791676352100165793762708
20,1,1,38.221,-85.763,38.221,-85.764,0.04,0.76,312713304061806454060261862509616182452
21,1,5,38.253,-85.752,38.253,-85.751,0.04,3.76,328053567636219640440680854104836449168
22,1,2,38.258,-85.745,38.258,-85.745,0.04,1.51,292670542675786722956075815673174005343
23,1,6,38.262,-85.736,38.262,-85.736,0.04,4.51,305095877840584349393679458276565238957
24,1,2,38.255,-85.744,38.255,-85.744,0.04,1.51,229584189855278962141847072804038629868
25,1,8,38.257,-85.762,38.248,-85.756,0.04,6.01,257983335557154405772426821158884142756
26,1,3,38.215,-85.755,38.216,-85.756,0.04,2.26,285532989434375949088833831169907775249
27,1,4,38.259,-85.75,38.259,-85.75,0.04,3.01,298556784603786322818670766915806608768
28,1,1,38.246,-85.758,38.246,-85.757,0.04,0.76,232657589896441165376529648014058546290
29,1,8,38.253,-85.703,38.254,-85.702,0.04,6.01,238549678092678410023762222258086865330
30,1,1,38.257,-85.753,38.257,-85.753,0.04,0.76,322392536425370501294114100291700706120
31,1,3,38.246,-85.758,38.246,-85.758,0.04,2.26,311949103015183799738814300515037329215
32,1,7,38.214,-85.752,38.214,-85.752,0.04,5.26,259783713055308778406422503059507372328
33,1,1,38.22,-85.757,38.22,-85.758,0.04,0.76,237321185845475404010247857335686207439
34,1,4,38.25,-85.758,38.25,-85.758,0.04,3.01,287567289953090191066657719039351535523
35,1,6,38.212,-85.745,38.216,-85.744,0.041,4.51025,250663674351821367068390573188761370752
36,1,1,38.229,-85.763,38.229,-85.763,0.043,0.76075,335328325682002834879994144473410441904
37,1,6,38.254,-85.757,38.253,-85.757,0.043,4.51075,289681205169266689582851269786917142048
38,1,4,38.258,-85.745,38.258,-85.745,0.045,3.01125,286522959144956572749406332029634096261
39,1,3,38.255,-85.744,38.255,-85.745,0.048,2.262,299144408500724286906407066023330754903
40,1,3,38.226,-85.76,38.225,-85.76,0.048,2.262,302775094384716157238253353686422613006
41,1,2,38.253,-85.756,38.253,-85.757,0.049,1.51225,287915753538798976219910296632013114796
42,1,5,38.254,-85.746,38.254,-85.746,0.05,3.7625,305376728379437066428592220834689173256
43,1,2,38.221,-85.763,38.221,-85.763,0.05,1.5125,279865231894537001538650221042920946899
44,1,6,38.253,-85.758,38.253,-85.758,0.05,4.5125,293784366292502538147857744078039443864
45,1,2,38.256,-85.756,38.256,-85.757,0.05,1.5125,283489849565620040163874454474246040799
46,1,4,38.251,-85.757,38.251,-85.758,0.05,3.0125,235076583695296326133479030225940671964
