,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,5,6,38.268,-85.744,38.271,-85.741,0.04,4.51,198716339700043193015133006835588219364
1,5,2,38.216,-85.757,38.213,-85.761,0.04,1.51,199508629434973352240077082737473878021
2,5,0,38.215,-85.758,38.215,-85.758,0.04,0.01,207653664770471027174886498242119330218
3,5,1,38.256,-85.749,38.256,-85.749,0.04,0.76,120562055244238612057622574316422102225
4,5,1,38.218,-85.763,38.218,-85.763,0.04,0.76,138455429404301157355367261728298500023
5,5,1,38.223,-85.667,38.223,-85.668,0.04,0.76,180432514845935587402618461229046634093
6,5,6,38.256,-85.752,38.256,-85.752,0.04,4.51,191674787430683663036601736336174747363
7,5,1,38.258,-85.745,38.258,-85.745,0.04,0.76,205774134898828492438710396764034884199
8,5,4,38.23,-85.764,38.231,-85.764,0.04,3.01,170228986971372492641397878836222657270
9,5,6,38.257,-85.755,38.257,-85.755,0.04,4.51,159993751763218671633315053825657901066
10,5,7,38.265,-85.787,38.265,-85.787,0.04,5.26,165290363720795380519841063906099025902
11,5,3,38.221,-85.763,38.22,-85.758,0.04,2.26,150824970967700680690724050236773324307
12,5,4,38.221,-85.765,38.221,-85.764,0.04,3.01,145341872144854116967817226048685241760
13,5,5,38.253,-85.758,38.254,-85.757,0.04,3.76,167518348906228962286019588630120494221
14,5,8,38.258,-85.739,38.258,-85.739,0.04,6.01,122621492363244889040957721729027833070
15,5,2,38.219,-85.757,38.216,-85.758,0.04,1.51,144718934225899991776537730290859290464
16,5,2,38.222,-85.754,38.222,-85.754,0.04,1.51,150238377733754559704828586906813957614
17,5,2,38.251,-85.757,38.251,-85.758,0.04,1.51,175083120082026899491158710207461206189
18,5,3,38.214,-85.76,38.217,-85.762,0.04,2.26,127244794209106072977463749276599049845
19,5,1,38.214,-85.76,38.214,-85.76,0.04,0.76,212899720826103983947444315223936761045
20,5,1,38.219,-85.754,38.218,-85.754,0.04,0.76,184927961905388592966084306154381847126
21,5,1,38.257,-85.762,38.257,-85.761,0.04,0.76,215757903322062110662000543156647573462
22,5,1,38.217,-85.753,38.217,-85.752,0.04,0.76,218080476290113691787402176920213628783
23,5,2,38.257,-85.757,38.257,-85.755,0.04,1.51,145628887917629871348092322733810572372
24,5,2,38.271,-85.742,38.271,-85.742,0.04,1.51,137304541390815474791225087503702670048
25,5,3,38.257,-85.757,38.257,-85.757,0.04,2.26,163261736623718207142496440267256283721
26,5,2,38.256,-85.758,38.257,-85.758,0.04,1.51,160316539613290383248351736580987456975
27,5,0,38.253,-85.648,38.252,-85.648,0.04,0.01,200425265483819854524771635985444890708
28,5,1,38.215,-85.756,38.214,-85.755,0.04,0.76,181746675670940823098141638040475631042
29,5,2,38.256,-85.752,38.256,-85.752,0.04,1.51,135464638496468511827421049474591473546
30,5,2,38.255,-85.758,38.255,-85.757,0.04,1.51,226005991991088530790203187089939768610
31,5,1,38.213,-85.75,38.213,-85.749,0.04,0.76,223669564131784571388182705553720595083
32,5,3,38.236,-85.761,38.236,-85.761,0.04,2.26,139592861430882463380785638478197174625
33,5,3,38.256,-85.758,38.257,-85.759,0.04,2.26,152415424468002833040287777465360934673
34,5,1,38.214,-85.755,38.215,-85.757,0.04,0.76,122879381803557765366850559879152842852
35,5,2,38.254,-85.754,38.252,-85.757,0.04,1.51,162051761302709548052455492594671283932
36,5,1,38.258,-85.745,38.258,-85.745,0.04,0.76,171164078827739495601261707005926851074
37,5,1,38.252,-85.754,38.252,-85.754,0.04,0.76,118826992359334539481148973899216650448
38,5,1,38.241,-85.765,38.241,-85.764,0.04,0.76,164764170098198723017433476460775190996
39,5,3,38.219,-85.754,38.215,-85.753,0.04,2.26,125148013824064266431649713150645635440
40,5,1,38.265,-85.725,38.265,-85.725,0.04,0.76,114254009511008299948464063378783151731
41,5,1,38.221,-85.762,38.221,-85.763,0.04,0.76,181427307098007735579628291249081761681
42,5,2,38.216,-85.758,38.216,-85.758,0.04,1.51,190248561140328774597713227202292969180
43,5,3,38.219,-85.761,38.216,-85.758,0.04,2.26,215975315170717489302914178831178571738
44,5,3,38.258,-85.751,38.257,-85.751,0.042,2.2605,125458626766972832585086974478295155463
45,5,2,38.254,-85.75,38.254,-85.749,0.043,1.51075,151485753052487496672698430897043320841
46,5,10,38.254,-85.759,38.255,-85.759,0.043,7.51075,197675505034215293146186598902273150145
47,5,2,38.249,-85.744,38.249,-85.746,0.043,1.51075,159935441676645064814102837448952284404
48,5,2,38.253,-85.754,38.253,-85.755,0.044,1.511,196949995091058133331010933963949566251
49,5,6,38.253,-85.757,38.254,-85.757,0.046,4.5115,221184353167073765606616914523804325538
50,5,5,38.215,-85.761,38.216,-85.76,0.048,3.762,122772956041181302300824631977701837566
51,5,9,38.258,-85.727,38.258,-85.727,0.05,6.7625,133264688482870587441903242764970897681
52,5,1,38.225,-85.694,38.224,-85.694,0.05,0.7625,192481890165448479280199664088044545293
53,5,7,38.26,-85.765,38.258,-85.768,0.05,5.2625,207208717920622809338586598266204313172
54,5,1,38.247,-85.73,38.248,-85.73,0.05,0.7625,189168227103607470192381053035635382561
55,5,11,38.261,-85.741,38.261,-85.74,0.05,8.2625,124279584561696911237317756712177321733
56,5,4,38.253,-85.755,38.254,-85.755,0.05,3.0125,154667001818716663312861452524072000101
57,5,3,38.214,-85.762,38.213,-85.76,0.05,2.2625,199987898225503191441517238667611865228
58,5,5,38.227,-85.769,38.226,-85.768,0.05,3.7625,200054958994212173532857831643543955470
59,5,2,38.221,-85.761,38.218,-85.764,0.05,1.5125,124048206086506050099114887681860808908
60,5,4,38.252,-85.757,38.253,-85.757,0.05,3.0125,155574591211603740135723139318859159297
61,5,3,38.214,-85.752,38.215,-85.755,0.05,2.2625,176729166638497277082259307978322557683
62,5,4,38.251,-85.757,38.251,-85.757,0.05,3.0125,143878598537532490541479640546912931559
63,5,4,38.217,-85.762,38.217,-85.763,0.05,3.0125,164192277590227672143953430261075832280
