,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,3,4,38.218,-85.762,38.22,-85.766,0.04,3.01,253873244195300823210476064363339454282
1,3,2,38.205,-85.759,38.206,-85.757,0.04,1.51,330408461447187870036634359702924928865
2,3,3,38.252,-85.757,38.254,-85.757,0.04,2.26,256040203948334273980819668430960294808
3,3,3,38.219,-85.755,38.219,-85.755,0.04,2.26,318569671344017729985742535908925196149
4,3,5,38.205,-85.764,38.209,-85.763,0.04,3.76,302134323847835335696495930514172931619
5,3,2,38.222,-85.762,38.22,-85.763,0.04,1.51,265599010312602303584361695873319793628
6,3,1,38.258,-85.745,38.257,-85.745,0.04,0.76,326947815920645735075967357253192064984
7,3,1,38.245,-85.745,38.248,-85.747,0.04,0.76,286588097406592880563485502179360557500
8,3,1,38.258,-85.746,38.258,-85.745,0.04,0.76,331865274485123706704824191585719440115
9,3,2,38.257,-85.757,38.257,-85.757,0.04,1.51,241852745516699842790114550159804605470
10,3,4,38.216,-85.756,38.216,-85.756,0.04,3.01,315971776895902587907303575045251060964
11,3,1,38.254,-85.755,38.253,-85.754,0.04,0.76,229214947734929623701397358302268842422
12,3,3,38.253,-85.757,38.253,-85.757,0.04,2.26,240630597236018009282215021881505589442
13,3,1,38.221,-85.763,38.221,-85.763,0.04,0.76,267885871413724532670560462466594305732
14,3,0,38.178,-85.753,38.178,-85.753,0.04,0.01,325020687701021491652261788496766921708
15,3,3,38.209,-85.763,38.209,-85.763,0.04,2.26,258916373560718020966980587273471195610
16,3,3,38.218,-85.758,38.218,-85.758,0.04,2.26,269938284264945940298801467777102778912
17,3,3,38.179,-85.754,38.179,-85.754,0.04,2.26,269761718708801843364384250434269122808
18,3,2,38.214,-85.752,38.215,-85.756,0.04,1.51,250814506032675130205802131660309543704
19,3,3,38.254,-85.738,38.254,-85.738,0.04,2.26,285662923036366801252681888385167210494
20,3,2,38.255,-85.748,38.255,-85.748,0.04,1.51,287591804525164621246539549042657929082
21,3,3,38.235,-85.718,38.237,-85.72,0.04,2.26,292829518072063397158002918765653032559
22,3,3,38.22,-85.762,38.218,-85.76,0.04,2.26,329007708232856752293796043165332588536
23,3,5,38.263,-85.735,38.263,-85.734,0.04,3.76,302726461804877435140704330438889924993
24,3,2,38.216,-85.758,38.213,-85.757,0.04,1.51,258878884892088218252897937955967032839
25,3,1,38.256,-85.758,38.255,-85.758,0.04,0.76,317369350321787066141980970766497705625
26,3,3,38.259,-85.757,38.259,-85.758,0.04,2.26,257255526705176066650244809373354334874
27,3,3,38.221,-85.763,38.221,-85.763,0.04,2.26,251594555807576792989593774752733863458
28,3,3,38.252,-85.757,38.252,-85.757,0.04,2.26,305073829854549334104395545038851961621
29,3,1,38.204,-85.762,38.204,-85.762,0.04,0.76,231655471476713491724003009948877384301
30,3,3,38.226,-85.762,38.226,-85.759,0.04,2.26,292965431100655813686075774228795940890
31,3,9,38.271,-85.742,38.271,-85.742,0.04,6.76,280545606892489410384170081764279356919
32,3,1,38.221,-85.761,38.221,-85.761,0.04,0.76,269071794250030304714392105931761686530
33,3,0,38.225,-85.768,38.225,-85.768,0.04,0.01,303384935795069171375271102525264770621
34,3,0,38.257,-85.759,38.257,-85.759,0.04,0.01,302315878520762835842585746360092653646
35,3,7,38.25,-85.756,38.254,-85.744,0.04,5.26,272747453320226514376880851228631560181
36,3,2,38.224,-85.762,38.224,-85.762,0.04,1.51,283002226463231268338769939644257511179
37,3,0,38.255,-85.754,38.255,-85.754,0.04,0.01,247497143515313122590505156509146084335
38,3,1,38.214,-85.761,38.214,-85.761,0.04,0.76,315492691901968936505528821921518653173
39,3,4,38.179,-85.754,38.178,-85.754,0.04,3.01,286841622381464745052433414092702727515
40,3,1,38.257,-85.746,38.257,-85.746,0.04,0.76,287768159831644523038522921857978647456
41,3,1,38.24,-85.763,38.24,-85.763,0.04,0.76,248170069826395267528551559690803393590
42,3,2,38.221,-85.763,38.221,-85.765,0.04,1.51,307404674630226940501886000439164040997
43,3,2,38.255,-85.745,38.255,-85.744,0.04,1.51,333167513048363671090254258017303827644
44,3,3,38.213,-85.76,38.213,-85.761,0.04,2.26,328099266028032001712360582005118852761
45,3,5,38.213,-85.761,38.214,-85.751,0.04,3.76,257225795993048832149921903803846625513
46,3,8,38.219,-85.765,38.213,-85.759,0.04,6.01,290179036094793329423966937262996441625
47,3,4,38.255,-85.753,38.255,-85.755,0.04,3.01,254535862932939387956129851358767195503
48,3,34,38.207,-85.758,38.207,-85.757,0.04,25.51,298391192224405891819086239347293345453
49,3,0,38.257,-85.746,38.258,-85.745,0.04,0.01,238902926942509570422686069906324956073
50,3,2,38.257,-85.759,38.257,-85.759,0.04,1.51,271611783820119893579664458031964234695
51,3,4,38.218,-85.75,38.218,-85.751,0.042,3.0105,286010039742485897850059473634043747448
52,3,18,38.257,-85.76,38.257,-85.759,0.045,13.51125,272811283641234666535578488164280301798
53,3,2,38.258,-85.746,38.258,-85.745,0.05,1.5125,274690217768563952118998358980444279383
54,3,9,38.235,-85.762,38.235,-85.762,0.05,6.7625,261644055756850707036513202753424739357
55,3,4,38.257,-85.755,38.256,-85.755,0.05,3.0125,286543629300363396126379943304676229256
56,3,4,38.258,-85.757,38.258,-85.756,0.05,3.0125,269431878971680933738005400806219704437
57,3,3,38.251,-85.758,38.251,-85.758,0.05,2.2625,229989171123096757788858575761802713529
58,3,3,38.218,-85.763,38.214,-85.76,0.05,2.2625,246498269355543008802231299913329274423
59,3,0,38.221,-85.756,38.221,-85.756,0.05,0.0125,252832528429485090810109134310949854978
60,3,2,38.255,-85.759,38.255,-85.757,0.05,1.5125,251502787886261866675690342560114457607
61,3,1,38.253,-85.734,38.253,-85.735,0.05,0.7625,241312242857540473903884071100822503155
62,3,39,38.225,-85.768,38.225,-85.768,0.05,29.2625,232515419033580770560136730359497314231
63,3,3,38.218,-85.756,38.214,-85.76,0.05,2.2625,315129499796401116611662383826565998311
64,3,2,38.256,-85.752,38.256,-85.753,0.05,1.5125,271317476683850559798308871344083075430
65,3,0,38.253,-85.757,38.253,-85.757,0.05,0.0125,269658518408944106928777024042820602151
66,3,3,38.213,-85.761,38.214,-85.76,0.05,2.2625,328940800495871525023833473441571169697
67,3,3,38.241,-85.725,38.242,-85.725,0.05,2.2625,272054118183776794302064144411392327580
68,3,4,38.212,-85.753,38.206,-85.759,0.05,3.0125,280871245439861307606040184136816194829
69,3,3,38.205,-85.764,38.205,-85.764,0.05,2.2625,278110519158123706079135485867107001827
70,3,4,38.252,-85.772,38.252,-85.772,0.05,3.0125,311275180202862997722219322975178000520
