,dayInWeek,duration,startLat,startLog,endLat,endLog,distance,cost,id
0,4,3,38.218,-85.76,38.216,-85.759,0.04,2.26,169327804828440947274370870053781467149
1,4,2,38.221,-85.763,38.219,-85.761,0.04,1.51,161730697917784074829458587680955257357
2,4,2,38.205,-85.764,38.205,-85.764,0.04,1.51,218299603477002874922639675418602959195
3,4,1,38.218,-85.758,38.219,-85.76,0.04,0.76,135852034937054766904433402590470511137
4,4,1,38.256,-85.759,38.257,-85.758,0.04,0.76,121333607374690798512700836469306417188
5,4,2,38.214,-85.755,38.214,-85.755,0.04,1.51,204167878705575564922841489598409802149
6,4,2,38.257,-85.76,38.257,-85.76,0.04,1.51,119674548311226572982603499876996556267
7,4,1,38.223,-85.742,38.224,-85.742,0.04,0.76,206774264695144228474078997660954380811
8,4,1,38.256,-85.745,38.256,-85.745,0.04,0.76,139660898135495646443393934128918621522
9,4,1,38.257,-85.744,38.258,-85.744,0.04,0.76,145867630944777770221892420215027061452
10,4,1,38.232,-85.709,38.232,-85.71,0.04,0.76,177972295984126239309059774418568895841
11,4,2,38.204,-85.759,38.204,-85.759,0.04,1.51,145965948220338726175721528811882189503
12,4,2,38.251,-85.754,38.25,-85.754,0.04,1.51,139734959528329670175727766349257201766
13,4,1,38.221,-85.765,38.223,-85.766,0.04,0.76,123369893185940979104665427346509866850
14,4,2,38.253,-85.734,38.253,-85.734,0.04,1.51,207065903559238737242242779530472893455
15,4,11,38.253,-85.757,38.256,-85.754,0.04,8.26,226009382653443837233396976036868153780
16,4,71,38.236,-85.711,38.23,-85.719,0.04,53.26,142402714633827286948346089392688652245
17,4,2,38.219,-85.758,38.219,-85.757,0.04,1.51,115086434938636214423187971064872818521
18,4,3,38.207,-85.743,38.207,-85.743,0.04,2.26,117947260974070311021014169171691001468
19,4,2,38.225,-85.762,38.225,-85.762,0.04,1.51,157836608836191196944399363359939085787
20,4,3,38.219,-85.754,38.214,-85.754,0.04,2.26,144906274276792498655949896675559850932
21,4,3,38.215,-85.755,38.218,-85.759,0.04,2.26,191070427763410897675029515344375884861
22,4,1,38.235,-85.76,38.235,-85.76,0.04,0.76,120640418827466155462355474287766666403
23,4,1,38.256,-85.752,38.257,-85.753,0.04,0.76,218002614344038544409833066504794198156
24,4,3,38.257,-85.75,38.256,-85.748,0.04,2.26,155037360535861216993341076240657088673
25,4,2,38.23,-85.735,38.231,-85.735,0.04,1.51,161414174103515867032162007312159373868
26,4,2,38.217,-85.756,38.216,-85.757,0.04,1.51,149640379847096782969213254404351824313
27,4,5,38.26,-85.746,38.259,-85.746,0.04,3.76,215118224842023899281832557076221310954
28,4,34,38.258,-85.745,38.258,-85.745,0.04,25.51,116751148923727021377821020202876792865
29,4,3,38.247,-85.756,38.248,-85.756,0.04,2.26,189210705255680599325524318182026576867
30,4,4,38.249,-85.76,38.251,-85.759,0.04,3.01,189290992667908563178289225875628396858
31,4,5,38.208,-85.758,38.213,-85.753,0.04,3.76,169565761475151376474560358887066753619
32,4,0,38.204,-85.758,38.205,-85.759,0.04,0.01,134016667625217961849234821264596940106
33,4,2,38.217,-85.76,38.217,-85.76,0.04,1.51,124814068847709702206672366384470124217
34,4,6,38.221,-85.763,38.221,-85.763,0.04,4.51,148242142251602122435247138996186017617
35,4,1,38.252,-85.757,38.252,-85.758,0.04,0.76,160858919803876918427690679488919191745
36,4,1,38.233,-85.763,38.233,-85.763,0.04,0.76,135549222355980241860936174910031384570
37,4,4,38.264,-85.728,38.263,-85.733,0.04,3.01,180998954996203255099525889678321434894
38,4,1,38.257,-85.761,38.257,-85.76,0.04,0.76,116767561303660739828451025150903524045
39,4,2,38.223,-85.762,38.223,-85.762,0.04,1.51,135544462054284051167922391505903498520
